id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Engineers Arms,Bridlington Avenue,HU2 0AQ,53.7533415,-0.3480822,GEOMETRIC_CENTER,08-May-07,75,B Good,,
,Ennerdale Leisure Centre,Sutton Road,HU7 6EA,53.7790903,-0.3750627,GEOMETRIC_CENTER,21-Jan-09,80,B Good,,
,Epneys,South Church Side,HU1 1RR,53.7785651,-0.3828449,RANGE_INTERPOLATED,23-Nov-05,80,B Good,,
,Esso,345-351 Beverley Road,HU5 1LD,53.7783907,-0.3761038,GEOMETRIC_CENTER,20-Jun-08,80,B Good,,
,Estcourt Primary School,Estcourt Street,HU9 2RP,53.7756165,-0.381158,GEOMETRIC_CENTER,26-Jan-10,70,C Acceptable,,
,Etna Food,North Point Shopping Centre,HU7 4EF,53.7551298,-0.3393448,GEOMETRIC_CENTER,22-Nov-08,70,C Acceptable,,
,Eurasian,621 Holderness Road,HU8 9AL,53.7777315,-0.3292427,GEOMETRIC_CENTER,19-Nov-08,75,B Good,,
,Excellent Cafe,209 Holderness Road,HU8 8TA,53.7415631,-0.3344652,GEOMETRIC_CENTER,13-Dec-08,65,C Acceptable,,
,Fair Price Mini Market,43 St. Georges Road,HU3 6EE,53.7659302,-0.3528617,RANGE_INTERPOLATED,18-Jun-08,75,B Good,,
,Falcon Kebabs,410 Beverley Road,HU5 1LW,53.7525959,-0.3062272,GEOMETRIC_CENTER,29-Sep-09,80,B Good,,
,Farmfoods,740 Holderness Road,HU9 3JA,53.78635,-0.32062,APPROXIMATE,08-Dec-09,80,B Good,,
,Farmfoods Freezer Centre,70-80 Prospect Street,HU2 8PH,53.7641527,-0.2940895,RANGE_INTERPOLATED,03-May-07,80,B Good,,
,Fashion Cafe,48 Carr Lane,HU1 3RF,53.7534947,-0.31391,RANGE_INTERPOLATED,11-May-09,70,C Acceptable,,
,Favourite Fried Chicken Ltd,87 Paragon Street,HU1 3QW,53.7413546,-0.37542,RANGE_INTERPOLATED,19-Dec-08,75,B Good,,
,Feast,23 Arthur Street,HU3 6BH,53.771656,-0.3548502,RANGE_INTERPOLATED,08-Oct-08,75,B Good,,
,Feast Rising,23 Arthur Street,HU3 6BH,53.7662809,-0.2888723,RANGE_INTERPOLATED,10-Nov-08,90,A Excellent,,
,Ferens Art Gallery,Queen Victoria Square,HU1 3RA,53.747158,-0.3445621,GEOMETRIC_CENTER,26-Jan-10,90,A Excellent,,
,Fernlea Residential Home,52 Pearson Park,HU5 2TG,53.7434713,-0.3422202,RANGE_INTERPOLATED,31-Jul-08,85,B Good,,
,Fernleigh Day Centre,Waterloo Street,HU2 9LG,53.7440055,-0.3437914,RANGE_INTERPOLATED,11-Dec-08,90,A Excellent,,
,Fin,54 Greenwich Avenue,HU9 4UY,53.7419922,-0.3730515,RANGE_INTERPOLATED,19-Nov-08,70,C Acceptable,,
,First Avenue Community Centre,1 1st Avenue,HU6 9NE,53.7419922,-0.3730515,RANGE_INTERPOLATED,22-Apr-08,70,C Acceptable,,
,Fisherman's Catch,255a Anlaby Road,HU3 2SE,53.74363,-0.34005,APPROXIMATE,17-Sep-08,80,B Good,,
,Fit Blondes,Sissons Way,HU5 1WW,53.7599262,-0.3541083,RANGE_INTERPOLATED,29-May-08,90,A Excellent,,
,Fiveways Hotel,317 Boothferry Road,HU4 6EZ,53.7533164,-0.3423671,GEOMETRIC_CENTER,17-Jan-09,90,A Excellent,,
,Flavas,226 Boothferry Road,HU4 6EN,53.7714019,-0.2650543,RANGE_INTERPOLATED,13-Aug-09,90,A Excellent,,
,Flavours,165 High Street,HU1 1NE,53.7811732,-0.3596735,RANGE_INTERPOLATED,29-Jan-09,80,B Good,,
,Fletchers,245 Greenwood Avenue,HU6 9RY,53.7432113,-0.3611804,RANGE_INTERPOLATED,01-Oct-08,90,A Excellent,,
,Flower Pot Hotel,379 Staveley Road,HU9 4BX,53.7673292,-0.3443185,GEOMETRIC_CENTER,08-Mar-05,80,B Good,,
,Footsteps Nursery,Surestart Marfleet,HU9 5AN,53.7375037,-0.3987005,RANGE_INTERPOLATED,05-Oct-09,75,B Good,,
,Foredyke Primary School,Flinton Grove,HU9 5SN,53.7387756,-0.3968204,RANGE_INTERPOLATED,15-Jul-09,90,A Excellent,,
,Foredyke Public House,Goodhart Road,HU7 4DW,53.785986,-0.321369,GEOMETRIC_CENTER,12-May-09,65,C Acceptable,,
,Fountain House Dining Centre,Fountain Road,HU2 0LH,53.7556284,-0.3444732,GEOMETRIC_CENTER,13-Nov-02,85,B Good,,
,Four Farthings Hotel,359-361 Spring Bank West,HU3 1LD,53.7510413,-0.3682292,RANGE_INTERPOLATED,28-Oct-09,85,B Good,,
,Four In Hand,957 Holderness Road,HU8 9DR,53.7694641,-0.2796534,RANGE_INTERPOLATED,11-Aug-09,90,A Excellent,,
,Foxy's Snack Bar,Argyle Street Unit Factory Est,HU3 1EX,53.7377064,-0.3683738,APPROXIMATE,12-Feb-09,90,A Excellent,,
,Fozzy's Fisheries,60 Hartoft Road,HU5 4LJ,53.7624855,-0.3903532,RANGE_INTERPOLATED,18-Jan-10,70,C Acceptable,,
,Francis Askew Junior School,North Road,HU4 6LQ,53.738935,-0.390672,GEOMETRIC_CENTER,11-May-09,90,A Excellent,,
,Frankie & Benny's,Raich Carter Way,HU7 3YY,53.793276,-0.353826,GEOMETRIC_CENTER,25-Jun-09,85,B Good,,
,Frankie & Benny's,St. Andrews Quay,HU3 4SA,53.7377064,-0.3683738,APPROXIMATE,09-Sep-09,75,B Good,,
,Frederick Holmes Special Sch,Inglemire Lane,HU6 8JJ,53.7756165,-0.381158,GEOMETRIC_CENTER,05-Jan-10,85,B Good,,
,Freezer Geezer,Walton Street,HU3 6JG,53.7469216,-0.3743859,GEOMETRIC_CENTER,28-Mar-07,90,A Excellent,,
,Fresh 'N' Filling,361-363 Hedon Road,HU9 1RA,53.747548,-0.3067399,RANGE_INTERPOLATED,22-Feb-10,65,C Acceptable,,
,Freshco,334 Hessle Road,HU3 3SB,53.7346197,-0.3669397,RANGE_INTERPOLATED,03-Jan-09,70,C Acceptable,,
,Freshco,Trinity House Lane,HU1 2JH,53.7398408,-0.3340044,APPROXIMATE,04-Mar-09,90,A Excellent,,
,Freshco,325 Holderness Road,HU8 8SH,53.7558055,-0.3103064,RANGE_INTERPOLATED,08-Jan-10,80,B Good,,
,Friar Tuck Fisheries,73 Cholmley Street,HU3 3DN,53.738726,-0.3650796,RANGE_INTERPOLATED,20-Oct-09,70,C Acceptable,,
,Fries R Us,23 Jameson Street,HU1 3HR,53.7450738,-0.3398994,RANGE_INTERPOLATED,08-Feb-10,55,D Poor,,
,Fryz,318 Southcoates Lane,HU9 3TN,53.7576387,-0.2939643,RANGE_INTERPOLATED,15-Jun-09,65,C Acceptable,,
,Fu Bar,369-373 Beverley Road,HU5 1LA,53.7659057,-0.3528477,RANGE_INTERPOLATED,10-Oct-07,70,C Acceptable,,
,Fudge Cafe - Restaurant Ltd,93 Princes Avenue,HU5 3QP,53.755107,-0.3592779,RANGE_INTERPOLATED,10-Feb-09,75,B Good,,
,Fuel,5-8 Baker Street,HU2 8HP,53.7471446,-0.3419747,GEOMETRIC_CENTER,01-May-08,90,A Excellent,,
,Fuen Fuen,171-173 Hawthorn Avenue,HU3 5PU,53.7393902,-0.3813207,RANGE_INTERPOLATED,29-Jul-09,60,C Acceptable,,
,Fullers Quality Bakers,C/o Netto,HU3 1TJ,53.7377064,-0.3683738,APPROXIMATE,10-Sep-08,85,B Good,,
,G W Horners,21-25 Anlaby Road,HU1 2PJ,53.7447103,-0.4001599,RANGE_INTERPOLATED,09-Jul-08,70,C Acceptable,,
,G&D Stores,252 Anlaby Park Road South,HU4 7JB,53.7331513,-0.4118566,RANGE_INTERPOLATED,26-Feb-09,80,B Good,,
